Unnamed: 0,시각,이동시간,이동시간_lag1,이동시간_lag2,이동시간_lag3,이동시간_lag4,이동시간_lag5,이동시간_lag6,이동시간_lag7,이동시간_lag8,이동시간_lag9,이동시간_lag10,이동시간_lag11,이동시간_lag12,이동시간_lag13,이동시간_lag14,이동시간_lag15,이동시간_lag16,이동시간_lag17,이동시간_lag18,이동시간_lag19,이동시간_lag20,이동시간_lag21,이동시간_lag22,이동시간_lag23,이동시간_lag24,resid,trend,seasonal
0,202001123.0,440.066,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,263.7,287.25,288.466,258.983,251.25,251.25,251.25,87.93049286698235,205.1376527777764,-11.518145644758736
1,202001200.0,384.1915,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,263.7,287.25,288.466,258.983,251.25,251.25,119.1253961872948,209.94221874999863,-16.979281603960143
2,202001201.0,351.0443333333333,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,263.7,287.25,288.466,258.983,251.25,122.52759573156555,214.74678472222087,-19.749380453786536
3,202001202.0,355.8205,325.441,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,263.7,287.25,288.466,258.983,126.38942570118355,219.5513506944432,-20.49977639562681
4,202001203.0,366.75,268.01666666666665,325.441,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,263.7,287.25,288.466,64.26206187739878,224.3559166666655,-20.60131187739763
5,202001204.0,400.38866666666667,268.608,268.01666666666665,325.441,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,263.7,287.25,54.813373834864045,229.16048263888777,-15.36585647375181
6,202001205.0,431.6053333333333,258.6995,268.608,268.01666666666665,325.441,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,263.7,37.29015823156536,233.9650486111101,-12.555706842675422
7,202001206.0,385.35,254.041,258.6995,268.608,268.01666666666665,325.441,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,268.1245,28.8866584485792,238.7696145833324,-13.615273031911524
8,202001207.0,502.33866666666665,257.58866666666665,254.041,258.6995,268.608,268.01666666666665,325.441,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,263.2943333333333,19.724069364377733,243.57418055555465,-5.7095832532657
9,202001208.0,469.1163333333333,309.8745,257.58866666666665,254.041,258.6995,268.608,268.01666666666665,325.441,317.525,312.0883333333333,281.55,282.516,287.216,273.708,282.658,285.58866666666665,274.86066666666665,272.161,264.0663333333333,274.9415,269.6716666666667,273.0705,261.5553333333333,264.70533333333333,262.52166666666665,60.36674264996801,248.37874652777688,1.1290108222551185
